epoch,loss,val_loss
0,4.688759103298187,4.290805179705684
1,4.452247344970703,4.253669953745397
2,4.366697554588318,4.154977520353753
3,4.283295248508454,4.108181854768397
4,4.226731015205384,4.089012858440954
5,4.143433886289596,4.055096393428696
6,4.126839543581009,4.040462255871428
7,4.079015821456909,4.024110893291337
8,4.031617164373398,3.9805855060124054
9,3.979512732744217,3.9376123467584567
10,3.972815514802933,3.952185635070873
11,3.9549755654335024,3.923757200223099
12,3.906829610586166,3.862969343236695
13,3.8479874243736267,3.8409162842701754
14,3.846599228143692,3.90556624992027
15,3.8334354491233826,3.840003688952125
16,3.7964912440776826,3.8277443772468667
17,3.7887718503475187,3.833166657065311
18,3.7628653659820555,3.8109106091614238
19,3.740267778635025,3.79929498377006
20,3.7098199026584626,3.790592523431812
21,3.692223471879959,3.753327808467826
22,3.658575615644455,3.7793357322812504
23,3.6547724273204802,3.744944423416037
24,3.654663327932358,3.7393289220639483
25,3.6256439843177795,3.710071023863685
26,3.5984898324012757,3.728040716159571
27,3.580076207637787,3.7608729510677223
28,3.5814730570316313,3.7300903450849625
29,3.5366365625858305,3.7476734774935165
30,3.5588183877468107,3.6768941622358313
31,3.5349470677375794,3.6694859638722317
32,3.52405434012413,3.657207767459138
33,3.5117329251766205,3.6344172812328956
34,3.498764079093933,3.6619081249835217
35,3.493643478870392,3.635284174559561
36,3.477501929998398,3.6356578050315225
37,3.459672607898712,3.616842788391815
38,3.46827804350853,3.605750243131408
39,3.4400717856884,3.6031446208989837
40,3.4246565933227537,3.618913915241082
41,3.4141644656658174,3.6461844193544684
42,3.409917964220047,3.5873155369001917
43,3.3853220007419584,3.567294389901929
44,3.4128433907032014,3.565020937650897
45,3.384532722234726,3.5669988496380576
46,3.3763572845458985,3.563939118435911
47,3.375952490568161,3.5665181950279297
48,3.3676308612823487,3.5640722095221458
49,3.372630949020386,3.562100832430267
50,3.387158172130585,3.5660322255555315
51,3.359935536146164,3.5647863347809765
52,3.3766170380115508,3.568633866461907
53,3.3576397082805634,3.5666513716772577
54,3.382994180202484,3.564413816404354
50,3.374347426891327,3.561570018789898
51,3.3629695143699645,3.5602155797072834
52,3.368079678297043,3.5603814885684324
53,3.377662010908127,3.5606709503109966
54,3.354929228067398,3.559378122164657
55,3.361065975189209,3.5603157281032347
56,3.3672588005065918,3.5605869091954103
57,3.362434514284134,3.5616396080067463
58,3.3593353986740113,3.559896755151045
59,3.3671014335155487,3.5594810845294784
60,3.3682400162220003,3.5589348385002895
61,3.367130759000778,3.5599707132014315
62,3.3618857266902924,3.5598028271694675
63,3.3642207221984863,3.5589351491021874
64,3.356049904584885,3.5598963676435544
65,3.3781802575588227,3.5593907433954843
66,3.3608809640407564,3.5587267425931084
67,3.3562305052280426,3.560252951440089
68,3.352305327415466,3.5597359251509406
69,3.3523724069595335,3.5605426261346875
70,3.3589700434207916,3.559282614020519
71,3.362692130804062,3.5591377503634116
72,3.3539832639694214,3.5608781322896608
